title,link
Crossfade - Cold,https://www.youtube.com/watch?v=Vrr3lRLjZ1Y
Papa Roach - Scars (Official Music Video),https://www.youtube.com/watch?v=eHbNU9WuVgw
Flyleaf - All Around Me [HQ],https://www.youtube.com/watch?v=417YOjyl1kg
Seether - Broken ft. Amy Lee,https://www.youtube.com/watch?v=hPC2Fp7IT7o
Crossfade - Colors (Video),https://www.youtube.com/watch?v=PYw0mg8RPKA
God Smack - Go Away,https://www.youtube.com/watch?v=77tvDMkc9eE
Disturbed - down with the sickness,https://www.youtube.com/watch?v=L78yVFeyvRo
[Deleted video],https://www.youtube.com/watch?v=qICwgHT5rpg
Drowning Pool- Let The Bodies Hit The Floor - Lyrics,https://www.youtube.com/watch?v=HORkT4a2MhQ
Never back down - Linkin Park,https://www.youtube.com/watch?v=YM992YUMmTs
Trapt - Headstrong (Official Music Video) | Warner Vault,https://www.youtube.com/watch?v=HTvu1Yr3Ohk
Kid Rock - Bawitdaba,https://www.youtube.com/watch?v=dSz95zceQfQ
One Step Closer [Official HD Music Video] - Linkin Park,https://www.youtube.com/watch?v=4qlCC1GOwFw
Slipknot - Psychosocial [OFFICIAL VIDEO] [HD],https://www.youtube.com/watch?v=5abamRO41fE
Five Finger Death Punch - The Bleeding,https://www.youtube.com/watch?v=KAuyEG7JPbE
Sick Puppies - You're going down - with lyrics,https://www.youtube.com/watch?v=O0M5D5OA-d4
Three Days Grace - Animal I Have Become,https://www.youtube.com/watch?v=xqds0B_meys
In The End [Official HD Music Video] - Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Volbeat - A Warrior's Call,https://www.youtube.com/watch?v=rSmtHBMjXLU
Godsmack - I Stand Alone (Official Music Video),https://www.youtube.com/watch?v=OYjZK_6i37M
System Of A Down - Chop Suey! (Official HD Video),https://www.youtube.com/watch?v=CSvFpBOe8eY
Korn - Coming Undone,https://www.youtube.com/watch?v=CSJXle3LP_Q
Papa Roach - Kick In The Teeth,https://www.youtube.com/watch?v=7an-BB4-lLA
Papa Roach - Last Resort lyrics,https://www.youtube.com/watch?v=QhJ6bE4z5vs
Three Days Grace - Home (Official Video),https://www.youtube.com/watch?v=7NQ8OCcQ3LA
Papa Roach - Getting Away With Murder,https://www.youtube.com/watch?v=-rdmG0k8S8k
Drowning Pool - Bodies (Official HD Music Video),https://www.youtube.com/watch?v=04F4xlWSFh0
Metallica - Wherever I May Roam,https://www.youtube.com/watch?v=S5TnPjOd_To
Three Days Grace - Just Like You,https://www.youtube.com/watch?v=04fQTmvFfGo
Three Days Grace - Pain,https://www.youtube.com/watch?v=Ud4HuAzHEUc
Saliva - Click Click Boom (Official Music Video),https://www.youtube.com/watch?v=YfjTZLxekig
Godsmack - Cryin' Like A Bitch!! (Official Music Video),https://www.youtube.com/watch?v=0eXIOK2vOhM
Seether - Remedy,https://www.youtube.com/watch?v=FZLILV18ut8
Three Days Grace - Riot,https://www.youtube.com/watch?v=HmeRd-AF7gI
Breaking Benjamin - Lights Out (Lyrics on screen),https://www.youtube.com/watch?v=aVx88gqVYuE
Breaking Benjamin - Had Enough [LYRICS],https://www.youtube.com/watch?v=TQOwFS7pLhk
Drowning Pool-The Game,https://www.youtube.com/watch?v=2MfUHAtEkGU
Limp Bizkit Behind Blue Eyes HD,https://www.youtube.com/watch?v=p9MbcR4yGx0
Godsmack - Voodoo (Official Music Video),https://www.youtube.com/watch?v=9SSUQxGjZZ4
Chevelle - The Red (Official HD Video),https://www.youtube.com/watch?v=trinU3VD1Zo
Smile Empty Soul - Bottom Of The Bottle (Official) Video,https://www.youtube.com/watch?v=KDl0LLH4q7I
[Deleted video],https://www.youtube.com/watch?v=tgaQHHJMDtA
Click Click Boom Lyrics,https://www.youtube.com/watch?v=3KHSuSkk4Vg
[Deleted video],https://www.youtube.com/watch?v=9yz6Mz-gzLU
Beast - Southpaw Soundtrack (Edit) | Starting Credits - Full Version,https://www.youtube.com/watch?v=a6uCB7_9Kns
Remember The Name (Official Video) - Fort Minor,https://www.youtube.com/watch?v=VDvr08sCPOc
Eminem - Till I Collapse (HD),https://www.youtube.com/watch?v=orTi-PUXXy4
Five Finger Death Punch - Coming Down,https://www.youtube.com/watch?v=ptzzU7jFQwo
[Private video],https://www.youtube.com/watch?v=PKzrzJxc8Jo
[Private video],https://www.youtube.com/watch?v=aeeWq3hDMCU
The Way of the Fist,https://www.youtube.com/watch?v=bDt7KuhSX9s
[Private video],https://www.youtube.com/watch?v=1vfE0dtTkmk
Bad Company,https://www.youtube.com/watch?v=IGA5ekbaBbc
If I Fall,https://www.youtube.com/watch?v=rjdUDcxbE6Y
Five Finger Death Punch - Coming Down,https://www.youtube.com/watch?v=ptzzU7jFQwo
2Pac Hit Em Up LYRICS!!!!!,https://www.youtube.com/watch?v=pK0rXbwrYbU
Breaking Benjamin - Had Enough [LYRICS],https://www.youtube.com/watch?v=TQOwFS7pLhk
Volbeat - A Warrior's Call,https://www.youtube.com/watch?v=rSmtHBMjXLU
Jekyll And Hyde,https://www.youtube.com/watch?v=mk0PdLZqZqU
Eminem - The Way I Am,https://www.youtube.com/watch?v=mQvteoFiMlg
Eminem - White America (Official Music Video),https://www.youtube.com/watch?v=RZIzD0ZfTFg
Nirvana - Come As You Are (Official Music Video),https://www.youtube.com/watch?v=vabnZ9-ex7o
Evanescence - My Immortal (Official HD Music Video),https://www.youtube.com/watch?v=5anLPw0Efmo
Simple Plan - Welcome To My Life (Official Video),https://www.youtube.com/watch?v=r0U0AlLVqpk
Simple Plan - I'm Just A Kid (Official Video) [HD],https://www.youtube.com/watch?v=_GOR5gvQwDI
Marilyn Manson - The Dope Show,https://www.youtube.com/watch?v=5R682M3ZEyk
Godsmack - Straight Out Of Line (Official Music Video),https://www.youtube.com/watch?v=z9FmOc0ofGc
Breaking Benjamin - Diary Of Jane lyrics,https://www.youtube.com/watch?v=AiBG6vuLrzY
Breaking Benjamin - I Will Not Bow (Lyrics on screen),https://www.youtube.com/watch?v=MjwFe6okyUw
Linkin Park - Somewhere i belong + Lyrics,https://www.youtube.com/watch?v=_iCtpuQvydk
Creed - with arms wide open (lyrics),https://www.youtube.com/watch?v=_ASAzQBlUKo
AudioSlave-Like a Stone W/ Lyrics,https://www.youtube.com/watch?v=4zdoXgGnKdc
P.O.D - Youth Of The Nation (TRADUÇÃO),https://www.youtube.com/watch?v=-v5L10oW1SA
Korn Y'all Want A Single (Lyrics + Uncensored),https://www.youtube.com/watch?v=Et6PuRV6PLA
