title,link
What A Beautiful Name - Hillsong Worship,https://www.youtube.com/watch?v=nQWFzMvCfLE
10000 Reasons (Bless the Lord) - Matt Redman (Best Worship Song Ever) (with Lyrics),https://www.youtube.com/watch?v=DXDGE_lRI0E
Who You Say I Am - Hillsong Worship,https://www.youtube.com/watch?v=lKw6uqtGFfo
Who Am I - Casting Crowns (w/ lyrics),https://www.youtube.com/watch?v=mBcqria2wmg
Newsboys - God's Not Dead,https://www.youtube.com/watch?v=S_OTz-lpDjw
Oceans (Where Feet May Fail) Lyric Video - Hillsong UNITED,https://www.youtube.com/watch?v=dy9nwe9_xzw
So Will I (100 Billion X) - Hillsong Worship,https://www.youtube.com/watch?v=GfVd5x9W1Xc
MercyMe - I Can Only Imagine (Video),https://www.youtube.com/watch?v=N_lrrq_opng
Lauren Daigle - Trust In You (Live),https://www.youtube.com/watch?v=n_aVFVveJNs
MercyMe - Even If (Official Lyric Video),https://www.youtube.com/watch?v=B6fA35Ved-Y
Chris Tomlin - Lord I Need You,https://www.youtube.com/watch?v=_rR_Rdb1CTE
Do It Again | Official Lyric Video | Elevation Worship,https://www.youtube.com/watch?v=0B_lnQIITxU
Lauren Daigle - How Can It Be,https://www.youtube.com/watch?v=Wt5X91ciE6Y
"Big Daddy Weave - ""Redeemed"" (Official Music Video)",https://www.youtube.com/watch?v=VzGAYNKDyIU
Kari Jobe - I Am Not Alone (Live),https://www.youtube.com/watch?v=bfveawSAHJA
Touch The Sky Official Lyric Video - Hillsong UNITED,https://www.youtube.com/watch?v=y1RQciil7B0
Lauren Daigle - First (Lyric Video),https://www.youtube.com/watch?v=RbWQV3OiRqA
Lead Me To The Cross-Hillsong,https://www.youtube.com/watch?v=d_24IdbJ0Tw
Switchfoot - Dare You To Move (Alt. Version),https://www.youtube.com/watch?v=iOTcr9wKC-o
for KING + COUNTRY - The Proof Of Your Love (Official Music Video),https://www.youtube.com/watch?v=b-2dKOfbC9c
Chris Tomlin - I Lift My Hands,https://www.youtube.com/watch?v=c24En0r-lXg
Danny Gokey - Hope in Front of Me (Official Lyric Video),https://www.youtube.com/watch?v=9KIhYZQ_ovw
Kutless - What Faith Can Do (Official Music Video),https://www.youtube.com/watch?v=u1JBSQMkQEo
Hillary Scott & The Scott Family - Thy Will (Official Lyric Video),https://www.youtube.com/watch?v=PAmh3yvmzXs
ABOVE ALL by Michael W Smith Lyrics,https://www.youtube.com/watch?v=Q7EPZV56PuA
Newsboys - Your Love Never Fails (Lyrics),https://www.youtube.com/watch?v=SgQ6vWEhH5E
Passion ft. Kristian Stanfill - Even So Come (Live),https://www.youtube.com/watch?v=fBHcvJhc6Pk
Casting Crowns - East to West,https://www.youtube.com/watch?v=WyoVJfADlwo
Praise You In This Storm w/ Lyrics!!,https://www.youtube.com/watch?v=MUWbmtbzDno
Francesca Battistelli - Write Your Story (Official Audio),https://www.youtube.com/watch?v=ecV1NHmELuA
Tenth Avenue North - Worn (Official Music Video),https://www.youtube.com/watch?v=zulKcYItKIA
Matthew West - Mended (Official Lyric Video),https://www.youtube.com/watch?v=-Otg-5p7qug
Britt Nicole - All This Time (Lyrics),https://www.youtube.com/watch?v=HmTGLdSW5Sw
TobyMac - Speak Life (Lyrics),https://www.youtube.com/watch?v=7rK6O0YtBRY
Francesca Battistelli - Free To Be Me (Official Music Video),https://www.youtube.com/watch?v=EKSQjSdU8VA
Natalie Grant - Your Great Name,https://www.youtube.com/watch?v=IuuLBPOYcI8
"Building 429: ""Where I Belong"" Official Music Video",https://www.youtube.com/watch?v=he32vwlKQPY
Hawk Nelson: Words (Official Lyric Video),https://www.youtube.com/watch?v=anVweXDcxhA
Francesca Battistelli - Holy Spirit (Official Audio),https://www.youtube.com/watch?v=UvBBC7-PSHo
Sidewalk Prophets- Help Me Find It (Official Lyric Video),https://www.youtube.com/watch?v=CsjZ94K7UQs
Life Song - Casting Crowns,https://www.youtube.com/watch?v=Gnf1xczuOrA
Casting Crowns - Until The Whole World Hears,https://www.youtube.com/watch?v=o7qi2KlUffs
Michael W. Smith - Place In This World,https://www.youtube.com/watch?v=LpXMnY_t03M
Holy Holy Holy - Audrey Assad,https://www.youtube.com/watch?v=AgHrNNM23p8
"Group 1 Crew - ""He Said (feat. Chris August)"" (Official Music Video)",https://www.youtube.com/watch?v=Lmi9IBP209s
Danny Gokey - Tell Your Heart to Beat Again,https://www.youtube.com/watch?v=PkdkiuJgqxk
"Sidewalk Prophets - ""Live Like That""",https://www.youtube.com/watch?v=GfosSggwQS0
Unspoken- Lift My Life Up (Official Lyric Video),https://www.youtube.com/watch?v=6UveOPq_iao
Mighty To Save by Laura Story,https://www.youtube.com/watch?v=pYqogpLpC5Q
Francesca Battistelli - Strangely Dim (Official Lyric Video),https://www.youtube.com/watch?v=MjmZ2v0niCI
"Jeremy Camp ""Overcome""",https://www.youtube.com/watch?v=FqXZD_z3eCc
Laura Story - Blessings (Pseudo Video),https://www.youtube.com/watch?v=JKPeoPiK9XE
Big Daddy Weave - The Lion And The Lamb (Official Audio),https://www.youtube.com/watch?v=aTUX8_ETIjc
Phil Wickham - This Is Amazing Grace (Official Lyric Video),https://www.youtube.com/watch?v=rjXjkbODrro
I Will Look Up | Live | Elevation Worship,https://www.youtube.com/watch?v=tEQnoE7SnZw
Revelation Song - Kari Jobe (Official Live Video),https://www.youtube.com/watch?v=8-Gxjtd6Wp4
Jeremy Camp - My God (Lyrics),https://www.youtube.com/watch?v=89OPH53Ad0Y
Francesca Battistelli- Giants Fall (Official Lyric Video),https://www.youtube.com/watch?v=KtE-_1cwH1M
Francesca Battistelli - If We're Honest (Official Audio),https://www.youtube.com/watch?v=ySa3Vu4FUW8
The Afters - Light Up The Sky,https://www.youtube.com/watch?v=h3Q-R4esGf4
"Meredith Andrews ""Not for A Moment"" (Lyric Video)",https://www.youtube.com/watch?v=qoh26pC2RT8
Group 1 Crew - His Kind of Love (Official Music Video),https://www.youtube.com/watch?v=ae0OjC7FbMs
