title,link
Céline Dion - The Power Of Love (Official Remastered HD Video),https://www.youtube.com/watch?v=Y8HOfcYWZoo
Christina Perri - A Thousand Years [Official Music Video],https://www.youtube.com/watch?v=rtOvBOTyX00
Bryan Adams - (Everything I Do) I Do It For You,https://www.youtube.com/watch?v=Y0pdQU87dc8
U2 - With Or Without You (Official Music Video),https://www.youtube.com/watch?v=ujNeHIo7oTE
Foreigner - I Want To Know What Love Is (Official Music Video),https://www.youtube.com/watch?v=r3Pr1_v7hsw
Roxette - It Must Have Been Love (Official Music Video),https://www.youtube.com/watch?v=k2C5TjS2sh4
Berlin - Take My Breathe Away theme from Top Gun with Lyrics,https://www.youtube.com/watch?v=fUis9yny_lI
Bryan Adams - Please Forgive Me (Official Music Video),https://www.youtube.com/watch?v=9EHAo6rEuas
The Cranberries - Dreams (Dir: Peter Scammell) (Official Music Video),https://www.youtube.com/watch?v=Yam5uK6e-bQ
Roxette - Listen To Your Heart (Official Music Video),https://www.youtube.com/watch?v=yCC_b5WHLX0
Bruno Mars - Just The Way You Are (Official Music Video),https://www.youtube.com/watch?v=LjhCEhWiKXk
Snow Patrol - Chasing Cars (Official Video),https://www.youtube.com/watch?v=GemKqzILV4w
Michael Bublé - Everything [Official Music Video],https://www.youtube.com/watch?v=SPUJIbXN0WY
Gabrielle Aplin - The Power of Love (Official Video),https://www.youtube.com/watch?v=zNpeK7sDLzE
Lana Del Rey - Young and Beautiful,https://www.youtube.com/watch?v=o_1aF54DO60
Céline Dion - My Heart Will Go On (Official 25th Anniversary Alternate Music Video),https://www.youtube.com/watch?v=9bFHsd3o1w0
Whitney Houston - I Will Always Love You (Official 4K Video),https://www.youtube.com/watch?v=3JWTaaS7LdU
The Cranberries - Linger (Official Music Video),https://www.youtube.com/watch?v=G6Kspj3OO0s
Enya - Only Time (Official 4K Music Video),https://www.youtube.com/watch?v=7wfYIMyS_dI
Bon Jovi - Always (Alternate Version),https://www.youtube.com/watch?v=gNecdKd1IG4
Aerosmith - I Don't Want to Miss a Thing (Official HD Video),https://www.youtube.com/watch?v=JkK8g6FMEXE
Toni Braxton - Un-Break My Heart (Official HD Video),https://www.youtube.com/watch?v=p2Rch6WvPJE
Céline Dion - It's All Coming Back to Me Now (Official Extended Remastered HD Video),https://www.youtube.com/watch?v=j8fHNdrZTSI
Mariah Carey - Without You (Official HD Music Video),https://www.youtube.com/watch?v=Hat1Hc9SNwE
Roxette - Spending My Time,https://www.youtube.com/watch?v=eG0IYV6G0I0
Rednex - Wish You Were Here,https://www.youtube.com/watch?v=CFLYUs1BpTY
Whitney Houston - I Have Nothing (Official HD Video),https://www.youtube.com/watch?v=FxYw0XPEoKE
Bon Jovi - Bed Of Roses (Official Music Video),https://www.youtube.com/watch?v=NvR60Wg9R7Q
Wet Wet Wet - Love Is All Around,https://www.youtube.com/watch?v=h3gEkwhdXUE
Ten Sharp - You (Official Music Video),https://www.youtube.com/watch?v=SZQpVX8RIZY
Shania Twain - You’re Still The One (Official Music Video),https://www.youtube.com/watch?v=KNZH-emehxA
Alison Krauss - When You Say Nothing At All (Official Video),https://www.youtube.com/watch?v=1SCOimBo5tg
Jim Brickman - Valentine (Official) ft. Martina McBride,https://www.youtube.com/watch?v=oMqIne65uHs
Sixpence None the Richer - Kiss Me (Official Video),https://www.youtube.com/watch?v=hII0JXUJNDo
Donna Lewis - I Love You Always Forever (Official Music Video),https://www.youtube.com/watch?v=SqdWTeXWvOg
Céline Dion - Because You Loved Me [HD],https://www.youtube.com/watch?v=ReUpQWdGEVM
Michael Bolton - When a Man Loves a Woman,https://www.youtube.com/watch?v=MUuNDb-nm5M
Celine Dion - When I Need You (lyrics) 90's Throwback,https://www.youtube.com/watch?v=cLfLOhWYUB0
Savage Garden - Truly Madly Deeply,https://www.youtube.com/watch?v=WQnAxOQxQIU
Richard Marx - Right Here Waiting (Official Music Video),https://www.youtube.com/watch?v=S_E2EHVxNAE
The Bangles - Eternal Flame (Official Video),https://www.youtube.com/watch?v=PSoOFn3wQV4
Jason Donovan - Sealed With A Kiss - Official Video,https://www.youtube.com/watch?v=y-Qf2c1xr2I
Boris Gardiner 'I Want To Wake Up With You' (Official Video),https://www.youtube.com/watch?v=CdWeWQAcb1s
Stevie Wonder I Just Called To Say I Love You,https://www.youtube.com/watch?v=1bGOgY1CmiU
Chris DeBurgh - Lady In Red,https://www.youtube.com/watch?v=Vt2YIpZWBqA
Righteous Brothers - Unchained Melody (High Quality),https://www.youtube.com/watch?v=qiiyq2xrSI0
Wonderful tonight - Eric Clapton,https://www.youtube.com/watch?v=xl7Hd2r0LOs
Willie Nelson - Always On My Mind (Official Video),https://www.youtube.com/watch?v=R7f189Z0v0Y
Elvis Presley - Can't Help Falling In Love (Official Audio),https://www.youtube.com/watch?v=vGJTaP6anOU
Cant Take My Eyes Off You - Frankie Valli and The 4 Seasons + lyrics,https://www.youtube.com/watch?v=LcJm1pOswfM
Love Affair - Everlasting Love (Official Video),https://www.youtube.com/watch?v=JaYTNsS_m2w
All I Have To Do Is Dream - Everly Brothers,https://www.youtube.com/watch?v=tbU3zdAgiX8
The Beatles - I Want To Hold Your Hand - Performed Live On The Ed Sullivan Show 2/9/64,https://www.youtube.com/watch?v=jenWdylTtzs
The Platters - Only You - Lyrics,https://www.youtube.com/watch?v=5p2k55F-uag
My Girl - The Temptations (1964) (HD Quality),https://www.youtube.com/watch?v=8Ff2Z0Dq2sg
The Four Tops - Baby I Need Your Loving,https://www.youtube.com/watch?v=joqjBAJx4ZA
Doris Day - Dream A Little Dream of Me,https://www.youtube.com/watch?v=h7j8wa9sWOE
Etta James - At Last - Lyrics,https://www.youtube.com/watch?v=S-cbOl96RFM
Nights in White Satin - The Moody Blues - in Paris.,https://www.youtube.com/watch?v=cs4RG9u8IVU
ABBA - I Do I Do I Do I Do I Do,https://www.youtube.com/watch?v=tW3HN_pvbE4
Glenn Medeiros - Nothing's Gonna Change My Love For You (Official Music Video) [HD],https://www.youtube.com/watch?v=mUg5aEy-8CQ
ENDLESS LOVE - Lionel Ritchie duet w Diana Ross w lyrics,https://www.youtube.com/watch?v=JM_R1R28kLM
Bill Medley Jennifer Warnes - (I've Had) The Time Of My Life (Official HD Video),https://www.youtube.com/watch?v=4BQLE_RrTSU
The Pretenders - I'll Stand By You,https://www.youtube.com/watch?v=bLpmj059JFA
Dirty Dancing - She's Like the Wind,https://www.youtube.com/watch?v=yfg97-5uhFQ
Cyndi Lauper - I Drove All Night (Video),https://www.youtube.com/watch?v=2y1TZXc5DiY
Heart - Alone,https://www.youtube.com/watch?v=1Cw1ng75KP0
Bonnie Tyler - Total Eclipse of the Heart (Official Lyric Video),https://www.youtube.com/watch?v=9z-Mh9Qeinw
Whitesnake - Is This Love (Official Music Video),https://www.youtube.com/watch?v=GOJk0HW_hJw
Meat Loaf - I'd Do Anything For Love (But I Won't Do That) (Official Music Video),https://www.youtube.com/watch?v=9X_ViIPA-Gc
"Phil Collins ""Against All Odds""",https://www.youtube.com/watch?v=uVjEcIANv1o
Sting - Fields Of Gold (Live From Lake House Wiltshire England 1993),https://www.youtube.com/watch?v=5som4EYefio
Mr. Mister - Broken Wings,https://www.youtube.com/watch?v=nKhN1t_7PEY
Cutting Crew - (I Just) Died In Your Arms (Official Music Video),https://www.youtube.com/watch?v=6dOwHzCHfgA
Foreigner - Waiting for a Girl Like You [Lyrics],https://www.youtube.com/watch?v=Wln6NX0V4AQ
Cyndi Lauper - Time After Time (Official HD Video),https://www.youtube.com/watch?v=VdQY7BusJNU
Rod Stewart - Cover Song -  Have I Told You Lately - released June 1993,https://www.youtube.com/watch?v=AQ4NAZPi2js
Rod Stewart - All for Love,https://www.youtube.com/watch?v=rB8UEudAi_4
Bryan Adams - Heaven,https://www.youtube.com/watch?v=s6TtwR2Dbjg
The Power Of Love (From “Back To The Future” Soundtrack),https://www.youtube.com/watch?v=_yQUTjxCmmU
