title,link
Shawn Mendes - Heart of Gold (Official Music Video),https://www.youtube.com/watch?v=r7__5jmJ-tA
Dean Lewis - Memories (Official Video),https://www.youtube.com/watch?v=-fBUCVWwG3Y
Gracie Abrams - I Love You I’m Sorry (Official Music Video),https://www.youtube.com/watch?v=uxjhN_Donfw
Ariana Grande - we can't be friends (wait for your love) (official music video),https://www.youtube.com/watch?v=KNtJGQkC-WI
Benson Boone - Slow It Down (Official Music Video),https://www.youtube.com/watch?v=f4Y3b7un4LE
Damiano David - Silverlines - prod. Labrinth (Official Video),https://www.youtube.com/watch?v=btSgDtXYpzc
Henry Moodie - drunk text (official video),https://www.youtube.com/watch?v=OqEc_169ywY
Nate Smith Avril Lavigne - Can You Die From a Broken Heart (Official Music Video),https://www.youtube.com/watch?v=-NYrmz3jttc
Tom Odell - Black Friday (Official Music Video),https://www.youtube.com/watch?v=KMIKzWyZPSA
Myles Smith - Solo (Official Music Video),https://www.youtube.com/watch?v=Bk8IQIv7MuQ
Livingston - Last Man Standing (Official Visualizer),https://www.youtube.com/watch?v=GFhmpVSfnZo
Sasha Alex Sloan - Highlights (Official),https://www.youtube.com/watch?v=GCrnrf8EYRE
David Kushner - Daylight (Official Music Video),https://www.youtube.com/watch?v=MoN9ql6Yymw
Camylio - hurting me hurting you,https://www.youtube.com/watch?v=rQpEa1pAh58
정국 (Jung Kook) 'Hate You' Official Visualizer,https://www.youtube.com/watch?v=tAcKfnf0zv4
The Kid LAROI - BLEED (Official Video),https://www.youtube.com/watch?v=bHXn-SU7YYg
P!NK - All Out Of Fight (Official Video),https://www.youtube.com/watch?v=5DuZkK_trYY
Alexander Stewart - if you only knew (visualizer),https://www.youtube.com/watch?v=SwDlodsNcIo
Billie Eilish - What Was I Made For? (Official Music Video),https://www.youtube.com/watch?v=cW8VLC9nnTo
Tate McRae - stay done,https://www.youtube.com/watch?v=XM3B9SBFaa8
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),https://www.youtube.com/watch?v=GlM6lcFbLSg
Shawn Mendes - It'll Be Okay,https://www.youtube.com/watch?v=KrgJp7Z1Hv8
Lewis Capaldi - Wish You The Best (Official Video),https://www.youtube.com/watch?v=QZLxVvLyKTo
Zach Bryan - I Remember Everything (feat. Kacey Musgraves),https://www.youtube.com/watch?v=ZVVvJjwzl6c
Labrinth - The Feels (Official Visualizer),https://www.youtube.com/watch?v=54Al9BpiYPw
Ed Sheeran - Boat [Official Video],https://www.youtube.com/watch?v=mKEphyIbtXo
Labrinth - Never Felt So Alone (Official Video),https://www.youtube.com/watch?v=pqCVMRcj_bc
NF - HAPPY,https://www.youtube.com/watch?v=vhumOLNSSJY
Lizzy McAlpine - ceilings (official video),https://www.youtube.com/watch?v=2bpMSpFTdzM
Munn - can you hear me? (Official Lyric Video),https://www.youtube.com/watch?v=-yAltxrbk0g
Alexander Stewart - Blame's On Me (Official Music Video),https://www.youtube.com/watch?v=lMgoo5gtaXE
P!NK - TRUSTFALL (Official Video),https://www.youtube.com/watch?v=D2KE2a5qo0g
Clinton Kane - CHICKEN TENDIES (Official Video),https://www.youtube.com/watch?v=nKwWT7i_P38
Lewis Capaldi - Pointless (Official Video),https://www.youtube.com/watch?v=HlNGI4LbAto
Hayd - Closure (Official Lyric Video),https://www.youtube.com/watch?v=NU8vqdFvcrc
Nessa Barrett - die first (official music video),https://www.youtube.com/watch?v=Bgm2naUtoJo
Dermot Kennedy - Better Days (Official Music Video),https://www.youtube.com/watch?v=3gqbE9jDI1g
Joji - Glimpse of Us (Official Video),https://www.youtube.com/watch?v=NgsWGfUlwJI
Benson Boone - Better Alone (Official Music Video),https://www.youtube.com/watch?v=fvXn3rmhdc4
Lauren Spencer Smith - Fingers Crossed,https://www.youtube.com/watch?v=mzwg5Ldkt5Q
Dean Lewis - Hurtless (Official Video),https://www.youtube.com/watch?v=1KKJKSdoyEg
Dermot Kennedy - Moments Passed (Official Music Video),https://www.youtube.com/watch?v=0njhBp4ePCk
Ed Sheeran - One Life (Official Audio),https://www.youtube.com/watch?v=9G5W_Pl7Ydk
Lukas Graham - Happy For You (Official Video With Lyrics),https://www.youtube.com/watch?v=Sfqt2KtSj-Q
Imagine Dragons - Wrecked (Official Music Video),https://www.youtube.com/watch?v=Y2NkuFIlLEo
Ed Sheeran - Visiting Hours [Official Performance Video],https://www.youtube.com/watch?v=t3CoEyYEf4A
Justin Bieber & benny blanco - Lonely (Official Music Video),https://www.youtube.com/watch?v=xQOO2xGQ1Pc
FINNEAS - Love is Pain (Official Music Video),https://www.youtube.com/watch?v=ybehuJpDwb8
The Kid LAROI Justin Bieber - STAY (Official Video),https://www.youtube.com/watch?v=kTJczUoc26U
Olivia Rodrigo - drivers license (Official Video),https://www.youtube.com/watch?v=ZmDBbnmKpqQ
Zoe Wees - Hold Me Like You Used To,https://www.youtube.com/watch?v=1XYLKoEETVA
The Kid LAROI - WITHOUT YOU (Official Video),https://www.youtube.com/watch?v=SJOKlqJho8U
