title,link
ROSÉ & Bruno Mars - APT. (Official Music Video),https://www.youtube.com/watch?v=ekr2nIex040
Chappell Roan - HOT TO GO! (Official Music Video),https://www.youtube.com/watch?v=xaPNR-_Cfn0
Jenna Raine - It Is What It Is (Official Music Video),https://www.youtube.com/watch?v=-p8Behv6ji0
Jonas Blue Why Don't We - Don’t Wake Me Up (Official Video),https://www.youtube.com/watch?v=r7u7Lp13v88
Paul Russell - Lil Boo Thang (Official Video),https://www.youtube.com/watch?v=5AgDZcM8In8
Yolanda Adams - Church Doors (Terry Hunter Remix) ft Sir The Baptist Donald Lawrence & Co,https://www.youtube.com/watch?v=RNQhH7UY7ws
David Guetta & OneRepublic - I Don't Wanna Wait (Official Video),https://www.youtube.com/watch?v=dSDbwfXX5_I
Martin Garrix feat. Carolina Liar - Smile (Official Video),https://www.youtube.com/watch?v=MQ9K6EbQUxE
Moncrieff - Love Somebody,https://www.youtube.com/watch?v=nbBWerwiqPs
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),https://www.youtube.com/watch?v=4QIZE708gJ4
Good Neighbours - Home (Live from the Neighbourhood),https://www.youtube.com/watch?v=hOUch92RrYc
Hayya Hayya (Better Together) | FIFA World Cup 2022™ Official Soundtrack,https://www.youtube.com/watch?v=vyDjFVZgJoo
Sia - Gimme Love (Official Music Video),https://www.youtube.com/watch?v=TYxhB-oLNU8
HRVY - Million Ways,https://www.youtube.com/watch?v=00AhT7bSJX0
Miley Cyrus - Party In The U.S.A. (Official Video),https://www.youtube.com/watch?v=M11SvDtPBhA
The Kid LAROI Justin Bieber - STAY (Official Video),https://www.youtube.com/watch?v=kTJczUoc26U
Jain - Makeba (Official Video),https://www.youtube.com/watch?v=59Q_lhgGANc
OneRepublic - Sunshine (Official Lyric Video),https://www.youtube.com/watch?v=rYkK4HHTBQ4
K'NAAN - Wavin' Flag (Coca-Cola Celebration Mix),https://www.youtube.com/watch?v=WTJSt4wP2ME
Becky G - Shower,https://www.youtube.com/watch?v=50-_oTkmF5I
The Royal Concept - On Our Way,https://www.youtube.com/watch?v=nWyhUoxAbYI
Marshmello Khalid - Numb (Official Video),https://www.youtube.com/watch?v=mRXKnG2eugU
Lil Nas X - THATS WHAT I WANT (Official Video),https://www.youtube.com/watch?v=QDYDRA5JPLE
Arhbo featuring Ozuna & GIMS | FIFA World Cup 2022™ Official Soundtrack,https://www.youtube.com/watch?v=e8laLiWolGg
OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],https://www.youtube.com/watch?v=mNEUkkoUoIA
Matthew Mole - Take Yours I'll Take Mine (Official Video),https://www.youtube.com/watch?v=EZvHZgii7XI
Robin Schulz feat. KIDDO - All We Got (Official Video),https://www.youtube.com/watch?v=lznH7FZBBYs
KSI – Holiday [Official Music Video],https://www.youtube.com/watch?v=gfHbg53ykPY
Joel Corry x MNEK - Head & Heart [Official Video],https://www.youtube.com/watch?v=CRuOOxF-ENQ
Riton x Nightcrawlers - Friday ft. Mufasa & Hypeman (Dopamine Re-edit) [Official Video],https://www.youtube.com/watch?v=U6n2NcJ7rLc
The Vamps Matoma - All Night,https://www.youtube.com/watch?v=BqaoAQbkeXo
Surfaces - Sunday Best (Official Music Video),https://www.youtube.com/watch?v=_83KqwEEGw4
Noah Kahan - False Confidence (Official Music Video),https://www.youtube.com/watch?v=SF84c-Ehxls
Jason Derulo x Nuka - Love Not War [Official Music Video],https://www.youtube.com/watch?v=fZMRc-UyPm0
Jason Derulo - Lifestyle (feat. Adam Levine) [Official Music Video],https://www.youtube.com/watch?v=gTOYhxubOmk
benny blanco Marshmello & Vance Joy - You (Official Music Video),https://www.youtube.com/watch?v=Y_URdu-JbNo
TONES AND I - NEVER SEEN THE RAIN (OFFICIAL VIDEO),https://www.youtube.com/watch?v=UdRJY-jlEhQ
Jason Derulo - Take You Dancing [Official Music Video],https://www.youtube.com/watch?v=s0-f5RncxcA
BTS (방탄소년단) 'Dynamite' Official MV,https://www.youtube.com/watch?v=gdZLi9oWNZg
Clean Bandit and Mabel - Tick Tock (feat. 24kGoldn) [Official Video],https://www.youtube.com/watch?v=yC8SPG2LwSA
24kGoldn - Mood (Official Video) ft. iann dior,https://www.youtube.com/watch?v=GrAchTdepsU
R3HAB HRVY - Be Okay (with HRVY) (Dance Video),https://www.youtube.com/watch?v=GRhKVrP6y84
Ofenbach & Quarterhead – Head Shoulders Knees & Toes (feat Norma Jean Martine)[Official Music Video],https://www.youtube.com/watch?v=pqLqag3WI5o
The Chainsmokers with Kygo - Family (Official Video),https://www.youtube.com/watch?v=mPbFxEGzCaM
JP Cooper Astrid S - Sing It With Me,https://www.youtube.com/watch?v=78Ex_vru4SU
Duke Dumont - I Got U ft. Jax Jones (Official Music Video),https://www.youtube.com/watch?v=FHCYHldJi_g
Galantis - Bones (feat. OneRepublic) [Official Music Video],https://www.youtube.com/watch?v=UEY5d_axpVE
David Guetta & Sia - Let's Love (Official Video),https://www.youtube.com/watch?v=efCUMvwo6Tk
Sia - Together (from the motion picture Music),https://www.youtube.com/watch?v=vnfGni4_RlI
Jonas Brothers - What A Man Gotta Do (Official Video),https://www.youtube.com/watch?v=XejVB_fba04
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),https://www.youtube.com/watch?v=q0hyYWKXF0Q
Lucas & Steve - Perfect (feat. Haris) [Official Music Video],https://www.youtube.com/watch?v=84bv7WV0SGo
Lady Gaga - Stupid Love (Official Music Video),https://www.youtube.com/watch?v=5L6xyaeiV58
Kygo Donna Summer - Hot Stuff (Official Video),https://www.youtube.com/watch?v=yg6Y_1_DJyI
SAINt JHN - Roses (Imanbek Remix) (Official Music Video),https://www.youtube.com/watch?v=2zToEPpFEN8
Kygo - Happy Now ft. Sandro Cavazza (Official Video),https://www.youtube.com/watch?v=zaIsVnmwdqg
Ed Sheeran & Justin Bieber - I Don't Care [Official Music Video],https://www.youtube.com/watch?v=y83x7MgzWOA
Gryffin & Slander - All You Need To Know ft. Calle Lehmann (Official Music Video),https://www.youtube.com/watch?v=QShq1KGbEOk
Marshmello ft. Bastille - Happier (Official Music Video),https://www.youtube.com/watch?v=m7Bc3pLyij0
Sia - You're Never Fully Dressed Without a Smile (2014 Film Version),https://www.youtube.com/watch?v=IKjJ6DQF7xY
Owl City & Carly Rae Jepsen - Good Time (Official Video),https://www.youtube.com/watch?v=H7HmzwI67ec
SDJM & Conor Maynard - That Way [Official Lyric Video],https://www.youtube.com/watch?v=EYNLvB09_Ls
BANNERS - Someone To You,https://www.youtube.com/watch?v=XeLaiL9tk68
Jon Bellion - All Time Low (Official Music Video),https://www.youtube.com/watch?v=AXnqkVTFUqY
Niall Horan - Black And White (Official Video),https://www.youtube.com/watch?v=gnvi8DrLJXI
Daddy Yankee  - Dura (Official Video),https://www.youtube.com/watch?v=sGIm0-dQd8M
MAGIC SYSTEM - Magic In The Air Feat. Chawki [Clip Officiel],https://www.youtube.com/watch?v=BAkqJT_sMKQ
Olly Murs - Troublemaker ft. Flo Rida,https://www.youtube.com/watch?v=4aQDOUbErNg
Dan Balan - Numa Numa 2 (feat. Marley Waters) / 恋のマイアヒ2018,https://www.youtube.com/watch?v=jKcBZlPHC3o
Luis Fonsi Stefflon Don - Calypso,https://www.youtube.com/watch?v=Hnj_EMDUfjY
Seeb Bastille - Grip (Official Lyric Video),https://www.youtube.com/watch?v=LMlCPQVbsFc
Loud Luxury feat. brando - Body (Official Music Video),https://www.youtube.com/watch?v=IetIg7y5k3A
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,https://www.youtube.com/watch?v=5GL9JoH4Sws
Mike Williams - Bambini (Official Music Video),https://www.youtube.com/watch?v=U9UXxM4Wfqs
ILLENIUM Jon Bellion - Good Things Fall Apart,https://www.youtube.com/watch?v=XpmeVNxZ-Ks
Little Mix - Black Magic (Official Video),https://www.youtube.com/watch?v=MkElfR_NPBI
Ava Max - Sweet but Psycho [Official Music Video],https://www.youtube.com/watch?v=WXBHCQYxwr0
OneRepublic - Kids (Official Music Video),https://www.youtube.com/watch?v=Y56lpXvXbs0
Andy Grammer - Honey I'm Good. (Official Music Video),https://www.youtube.com/watch?v=Go7gn6dugu0
Sigala - Easy Love (Official Music Video),https://www.youtube.com/watch?v=ozx898ADTxM
Charli XCX - Boom Clap (The Fault In Our Stars Soundtrack) [Official Video],https://www.youtube.com/watch?v=AOPMlIIg_38
6ix9ine - BEBE ft. Anuel AA,https://www.youtube.com/watch?v=ycV6cnK3SIs
Fifth Harmony - Miss Movin' On (Official Video),https://www.youtube.com/watch?v=Qti2X20w_gA
Galantis - Mama Look At Me Now (Official Music Video),https://www.youtube.com/watch?v=OKOX4rbq5oE
Jon Bellion - JT (Official Audio),https://www.youtube.com/watch?v=Vj1XE7fsvHw
Cardi B Bad Bunny & J Balvin - I Like It [Dillon Francis Remix],https://www.youtube.com/watch?v=xZC8ixkVvg8
Olly Murs - Up (Official Video) ft. Demi Lovato,https://www.youtube.com/watch?v=29GWMT0GB6s
XXXTENTACION & Lil Pump - Arms Around You feat. Maluma & Swae Lee [Official Music Video],https://www.youtube.com/watch?v=tLNOce4Y4uc
BAD BUNNY x DRAKE - MÍA (Official Video),https://www.youtube.com/watch?v=OSUxrSe5GbI
DJ Snake - Taki Taki ft. Selena Gomez Ozuna Cardi B (Official Music Video),https://www.youtube.com/watch?v=ixkoVwKQaJg
Lucas & Steve x Mike Williams x Curbi - Let's Go (Official Music Video),https://www.youtube.com/watch?v=nMEPIZIWGEA
Sigala Fuse ODG Sean Paul - Feels Like Home (Lyric Video) ft. Kent Jones,https://www.youtube.com/watch?v=V1Sj9RvGpqw
Sigala Ella Eyre - Came Here for Love (Official Video),https://www.youtube.com/watch?v=Uq8fE3kKIBk
Omi - Hula Hoop (Official Video),https://www.youtube.com/watch?v=RYzQvj3icjs
Imagine Dragons - I Bet My Life,https://www.youtube.com/watch?v=4ht80uzIhNs
OMI - Drop In The Ocean feat. AronChupa (Official Video),https://www.youtube.com/watch?v=IlyVdjEQQRY
